variant_id,episode_id,lane,entry_variant,reaction_state,direction,context_tf,interaction_tf,reaction_tf,confirmation_tf,trigger_tf,is_multi_timeframe,session,day_of_week,context_family,confluence,rb_activation_class,interaction_to_trigger_delay_bin,target_family,target_tf,natural_rr_bin,atr_1m_24,atr_5m_24
EP-00005-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00005,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,6-1000000000.0,rb,1,0.5-1.0,17.8442,
EP-00006-ENTRY_ON_TAP,EP-00006,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,1.0-2.0,,
EP-00006-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00006,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,0-0.5,19.4375,
EP-00006-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00006,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,0-0.5,19.4375,
EP-00006-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00006,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,4-6,rb,1,0-0.5,18.2287,
EP-00006-ENTRY_ON_COMPRESSION_BREAK,EP-00006,A,ENTRY_ON_COMPRESSION_BREAK,COMPRESSION_THEN_BREAK,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,4-6,rb,1,0-0.5,18.2287,
EP-00007-ENTRY_ON_TAP,EP-00007,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5,18.1843,
EP-00008-ENTRY_ON_TAP,EP-00008,B,ENTRY_ON_TAP,TAP_ONLY,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,0-1,rb,1,0.5-1.0,18.1843,
EP-00008-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00008,B,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,1-2,rb,1,0-0.5,18.2287,
EP-00008-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00008,B,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,1-2,rb,1,0-0.5,18.2287,
EP-00008-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00008,B,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,4-6,none,none,na,17.0723,
EP-00009-ENTRY_ON_TAP,EP-00009,B,ENTRY_ON_TAP,TAP_ONLY,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,fvg,False,NA,0-1,rb,1,0-0.5,17.8442,
EP-00009-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00009,B,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,fvg,False,NA,1-2,none,none,na,17.0723,
EP-00009-ENTRY_ON_NEW_FVG,EP-00009,B,ENTRY_ON_NEW_FVG,NEW_FVG,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,fvg,False,NA,6-1000000000.0,none,none,na,13.3626,
EP-00010-ENTRY_ON_TAP,EP-00010,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,1.0-2.0,16.0626,
EP-00011-ENTRY_ON_TAP,EP-00011,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,none,none,na,16.7163,
EP-00012-ENTRY_ON_TAP,EP-00012,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5,16.0046,
EP-00013-ENTRY_ON_TAP,EP-00013,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,none,none,na,15.5773,
EP-00013-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00013,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,none,none,na,15.3762,
EP-00013-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00013,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,none,none,na,15.3762,
EP-00014-ENTRY_ON_TAP,EP-00014,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,none,none,na,14.7313,
EP-00014-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00014,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,none,none,na,14.5967,
EP-00014-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00014,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,none,none,na,14.5967,
EP-00015-ENTRY_ON_TAP,EP-00015,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,2.0-1000000000.0,14.5967,
EP-00016-ENTRY_ON_TAP,EP-00016,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5,13.6936,
EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,fvg,3,0-0.5,13.0454,
EP-00016-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00016,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,3,0-0.5,13.0331,
EP-00016-ENTRY_ON_NEW_FVG,EP-00016,A,ENTRY_ON_NEW_FVG,NEW_FVG,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,4-6,rb,1,2.0-1000000000.0,12.8338,
EP-00017-ENTRY_ON_TAP,EP-00017,F,ENTRY_ON_TAP,TAP_ONLY,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,True,NOT_ACTIVATED,0-1,fvg,3,0-0.5,13.0454,
EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,F,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,True,NOT_ACTIVATED,1-2,rb,3,0-0.5,13.0331,
EP-00017-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00017,F,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,True,NOT_ACTIVATED,1-2,rb,3,0-0.5,13.0331,
EP-00017-ENTRY_ON_NEW_FVG,EP-00017,F,ENTRY_ON_NEW_FVG,NEW_FVG,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,True,NOT_ACTIVATED,2-4,rb,1,2.0-1000000000.0,12.8338,
EP-00018-ENTRY_ON_TAP,EP-00018,A,ENTRY_ON_TAP,TAP_ONLY,-1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,2.0-1000000000.0,12.8338,
EP-00018-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00018,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,1.0-2.0,12.236,
EP-00018-ENTRY_ON_NEW_FVG,EP-00018,A,ENTRY_ON_NEW_FVG,NEW_FVG,-1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,3,0-0.5,11.2026,
EP-00019-ENTRY_ON_TAP,EP-00019,B,ENTRY_ON_TAP,TAP_ONLY,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,fvg,False,NA,0-1,none,none,na,12.8338,
EP-00020-ENTRY_ON_TAP,EP-00020,A,ENTRY_ON_TAP,TAP_ONLY,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,fvg,1,0-0.5,12.8338,
EP-00021-ENTRY_ON_TAP,EP-00021,F,ENTRY_ON_TAP,TAP_ONLY,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,True,NA,0-1,none,none,na,13.0331,
EP-00022-ENTRY_ON_TAP,EP-00022,A,ENTRY_ON_TAP,TAP_ONLY,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,3,0.5-1.0,13.0331,
EP-00023-ENTRY_ON_TAP,EP-00023,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,none,none,na,13.0331,
EP-00024-ENTRY_ON_TAP,EP-00024,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5,12.549,
EP-00025-ENTRY_ON_TAP,EP-00025,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5,12.4637,
EP-00025-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00025,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,12.236,
EP-00025-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00025,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,1,1.0-2.0,12.1534,
EP-00026-ENTRY_ON_TAP,EP-00026,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5,12.236,
EP-00026-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00026,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,3,0-0.5,11.997,
EP-00026-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00026,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,3,0-0.5,11.997,
EP-00027-ENTRY_ON_TAP,EP-00027,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,2.0-1000000000.0,11.997,
EP-00027-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00027,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,1.0-2.0,12.1534,
EP-00027-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00027,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,1.0-2.0,12.1534,
EP-00027-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00027,A,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,1.0-2.0,12.1534,
EP-00028-ENTRY_ON_TAP,EP-00028,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,3,0.5-1.0,11.9491,
EP-00029-ENTRY_ON_TAP,EP-00029,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5,11.2026,
EP-00029-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00029,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,fvg,3,0-0.5,11.3921,
EP-00029-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00029,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,fvg,3,0-0.5,11.3921,
EP-00029-ENTRY_ON_STRONG_REJECTION,EP-00029,A,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,fvg,3,0-0.5,11.3921,
EP-00029-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00029,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,3,0-0.5,11.2612,
EP-00029-ENTRY_ON_NEW_FVG,EP-00029,A,ENTRY_ON_NEW_FVG,NEW_FVG,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,3,0-0.5,11.1565,
EP-00030-ENTRY_ON_TAP,EP-00030,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,ACTIVATED,0-1,rb,3,0-0.5,11.3921,
EP-00031-ENTRY_ON_TAP,EP-00031,A,ENTRY_ON_TAP,TAP_ONLY,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,fvg,3,0-0.5,11.3921,
EP-00031-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00031,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,3,0-0.5,11.2612,
EP-00031-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00031,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,4-6,rb,1,0-0.5,11.0405,
EP-00031-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00031,A,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,3,0-0.5,11.2612,
EP-00031-ENTRY_ON_NEW_FVG,EP-00031,A,ENTRY_ON_NEW_FVG,NEW_FVG,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,3,0-0.5,11.1565,
EP-00032-ENTRY_ON_TAP,EP-00032,B,ENTRY_ON_TAP,TAP_ONLY,-1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,fvg,False,NA,0-1,none,none,na,11.1565,
EP-00033-ENTRY_ON_TAP,EP-00033,A,ENTRY_ON_TAP,TAP_ONLY,-1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,ifvg,3,0-0.5,11.1565,
EP-00033-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00033,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,10.9867,
EP-00033-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00033,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,10.9867,
EP-00033-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00033,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,3,0-0.5,10.529,
EP-00034-ENTRY_ON_TAP,EP-00034,A,ENTRY_ON_TAP,TAP_ONLY,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,3,0-0.5,11.1565,
EP-00035-ENTRY_ON_TAP,EP-00035,B,ENTRY_ON_TAP,TAP_ONLY,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,0-1,rb,3,0.5-1.0,11.2612,
EP-00036-ENTRY_ON_TAP,EP-00036,A,ENTRY_ON_TAP,TAP_ONLY,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,ifvg,3,0-0.5,11.1565,
EP-00036-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00036,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,11.1292,
EP-00036-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00036,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,11.1292,
EP-00036-ENTRY_ON_STRONG_REJECTION,EP-00036,A,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,6-1000000000.0,rb,1,1.0-2.0,10.2665,
EP-00036-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00036,A,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,11.1292,
EP-00037-ENTRY_ON_TAP,EP-00037,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,none,none,na,11.1565,
EP-00037-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00037,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,11.1292,
EP-00037-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00037,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,11.1292,
EP-00037-ENTRY_ON_STRONG_REJECTION,EP-00037,A,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,6-1000000000.0,rb,1,1.0-2.0,10.2665,
EP-00037-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00037,A,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0,11.1292,
EP-00038-ENTRY_ON_TAP,EP-00038,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,2.0-1000000000.0,11.1292,
EP-00038-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00038,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,1,0-0.5,10.9143,
EP-00038-ENTRY_ON_STRONG_REJECTION,EP-00038,A,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,6-1000000000.0,rb,1,1.0-2.0,10.2665,
EP-00039-ENTRY_ON_IFVG_RETEST,EP-00039,F,ENTRY_ON_IFVG_RETEST,IFVG_RETEST,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,ifvg,True,NA,0-1,rb,1,0-0.5,11.1292,
EP-00039-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00039,F,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,ifvg,True,NA,2-4,rb,1,0.5-1.0,10.9867,
EP-00039-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00039,F,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,ifvg,True,NA,2-4,rb,1,0.5-1.0,10.9867,
EP-00040-ENTRY_ON_IFVG_RETEST,EP-00040,C,ENTRY_ON_IFVG_RETEST,IFVG_RETEST,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,ifvg,False,NA,0-1,rb,1,0.5-1.0,10.9867,
EP-00041-ENTRY_ON_TAP,EP-00041,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5,11.0405,
EP-00041-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00041,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,0.5-1.0,10.9867,
